"FLWS","1-800 FLOWERS.COM, Inc.","5.46","360105094.44","n/a","United States","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","8.13","75433416.39","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","10.3","61685330.1","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","32.01","778564089.27","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","7.9","270881843.9","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fubc",
"VNET","21Vianet Group, Inc.","27.89","1662708814.74","n/a","China","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","76.6","2259929263.8","n/a","China","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","10.88","956078368","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","18.9","415836647.1","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","34.5","1001078254.5","n/a","United States","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","30.45","1118991490.05","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ASTM","Aastrom Biosciences, Inc.","3.9","17083177.8","n/a","United States","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"ABAX","ABAXIS, Inc.","39.25","874136750","n/a","United States","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABGB","Abengoa, S.A.","24.15","0","n/a","Spain","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb",
"ABMD","ABIOMED, Inc.","29.7","1171777770.9","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","3.24","300878530.56","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","14.79","738416632.5","n/a","United States","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","46.95","2372010435.3","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","28.24","2566069112.8","n/a","United States","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","1.23","128222133.51","n/a","Canada","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","15.65","648998003.65","n/a","United States","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","50.14","1559786858.62","n/a","United States","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ACCL","Accelrys, Inc.","12.49","695261395.56","n/a","United States","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/accl",
"ANCX","Access National Corporation","17","175827515","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","9.72","727764811.56","n/a","United States","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","11.4","490647666.6","n/a","United States","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","19.45","547233043.75","n/a","United States","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/acet",
"ACHN","Achillion Pharmaceuticals, Inc.","3.31","319995948.03","n/a","United States","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","62.54","2410729317.46","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACNB","ACNB Corporation","18.24","109196696.64","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","37.74","1557702913.38","n/a","United States","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"ACFN","Acorn Energy, Inc.","3.5","77513495.5","n/a","United States","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acfn",
"ACTS","Actions Semiconductor Co., Ltd.","2.58","221880000","n/a","China","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ACPW","Active Power, Inc.","3.56","68929791.56","n/a","United States","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ATVI","Activision Blizzard, Inc","20.29","14110326398.92","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"BIRT","Actuate Corporation","5.79","275820696.54","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/birt",
"ACUR","Acura Pharmaceuticals, Inc.","1.67","80698344.54","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ACXM","Acxiom Corporation","37.39","2808667254.6","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMP","Adamis Pharmaceuticals Corporation","6.27","62148158.49","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"ADUS","Addus HomeCare Corporation","28.46","310583211.58","n/a","United States","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","3.13","31295242.4","n/a","United States","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"ADEP","Adept Technology, Inc.","17.74","194779168.4","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
